FirstName,LastName,ProductName,Price,Quantity,TotalPrice,OrderDate
Hatice,Öztürk,Pastane Kurabiyesi,485.45,9,4369.05,2024-02-24
Serkan,Arslan,Peynirli Börek,233.18,10,2331.8,2024-06-08
Ahmet,Koç,Yaş Pasta,237.12,8,1896.96,2024-04-15
Ayşe,Öztürk,Peynirli Börek,469.78,2,939.56,2024-02-19
Rabia,Şahin,Kadayıf,202.12,4,808.48,2024-04-24
Hasan,Yıldız,Yaş Pasta,110.1,4,440.4,2024-01-06
Hatice,Öztürk,Kuru Pasta,477.41,8,3819.28,2024-05-26
Rabia,Erdoğan,Sarma,209.62,10,2096.2,2024-05-24
Onur,Öztürk,Meyveli Pasta,297.01,4,1188.04,2024-08-20
Aslı,Demir,Çikolatalı Kurabiye,377.1,1,377.1,2024-02-12
Hasan,Yıldız,Çikolatalı Pasta,375.01,10,3750.1,2024-06-06
Yusuf,Özkan,Pastane Kurabiyesi,104.37,1,104.37,2024-09-18
Ahmet,Kılıç,Şöbiyet,242.15,2,484.3,2024-01-14
Serkan,Yılmaz,Yaş Pasta,439.3,2,878.6,2024-01-17
Yusuf,Aydın,Çavdar Ekmeği,65.48,5,327.4,2024-09-27
Ahmet,Şahin,Karamelli Pasta,68.39,6,410.34,2024-05-08
Aslı,Özkan,Patatesli Börek,222.77,10,2227.7,2024-01-08
Hasan,Tekin,Karamelli Pasta,244.67,7,1712.69,2024-03-01
Hatice,Doğan,Poğaça,48.33,3,144.99,2024-02-17
Emine,Polat,Pastane Kurabiyesi,178.77,8,1430.16,2024-05-10
Hatice,Polat,Sütlaç,499.89,9,4499.01,2024-04-15
Cem,Arslan,Baklava,134.14,7,938.98,2024-05-21
Ali,Kara,Yaş Pasta,97.81,8,782.48,2024-07-30
Kemal,Koç,Peynirli Börek,494.62,10,4946.2,2024-02-03
Mehmet,Yavuz,Peynirli Börek,313.28,10,3132.8,2024-06-03
Hasan,Yılmaz,Karamelli Pasta,229.13,3,687.39,2024-04-19
Rabia,Kılıç,Kıymalı Börek,303.98,3,911.94,2024-05-21
Elif,Özkan,Yaş Pasta,279.9,3,839.7,2024-06-24
Aslı,Tekin,Sarma,447.88,10,4478.8,2024-03-30
Yusuf,Güneş,Patatesli Börek,241.44,9,2172.96,2024-01-17
Mehmet,Yavuz,Çikolatalı Kurabiye,118.52,2,237.04,2024-05-07
Hasan,Yıldız,Kıymalı Börek,473.51,9,4261.59,2024-09-07
Onur,Aksoy,Pastane Kurabiyesi,122.58,9,1103.22,2024-05-20
Selin,Aydın,Çavdar Ekmeği,356.32,4,1425.28,2024-04-19
Ayşe,Özkan,Çikolatalı Kurabiye,108.81,3,326.43,2024-06-22
Ayşe,Özkan,Su Böreği,442.05,7,3094.35,2024-01-06
Ali,Kara,Su Böreği,468.32,1,468.32,2024-01-16
Hüseyin,Polat,Patatesli Börek,110.84,4,443.36,2024-09-27
Mehmet,Çelik,Ispanaklı Börek,288.28,1,288.28,2024-06-07
Serkan,Yılmaz,Yaş Pasta,84.04,9,756.36,2024-01-18
Hüseyin,Doğan,Köy Ekmeği,262.8,2,525.6,2024-02-14
Kemal,Öztürk,Ispanaklı Börek,197.09,6,1182.54,2024-06-22
Rabia,Doğan,Kazandibi,349.72,10,3497.2,2024-01-08
Ahmet,Kılıç,Çavdar Ekmeği,324.22,3,972.66,2024-04-13
Ali,Öztürk,Poğaça,272.3,1,272.3,2024-04-01
Ali,Kara,Sarma,316.86,10,3168.6,2024-09-19
Serkan,Kara,Peynirli Börek,363.84,2,727.68,2024-08-16
Zeynep,Kılıç,Peynirli Börek,130.33,10,1303.3,2024-04-28
Selin,Yılmaz,Çavdar Ekmeği,473.48,9,4261.32,2024-05-27
Fatma,Arslan,Baklava,281.89,10,2818.9,2024-03-01
Zeynep,Tekin,Meyveli Pasta,418.64,10,4186.4,2024-05-13
Elif,Kara,Pastane Kurabiyesi,16.59,1,16.59,2024-03-07
Hasan,Arslan,Tereyağlı Kurabiye,446.26,6,2677.56,2024-01-01
Mehmet,Aksoy,Sütlaç,270.0,10,2700.0,2024-01-28
Aslı,Arslan,Tam Buğday Ekmeği,237.52,8,1900.16,2024-05-26
Aslı,Şahin,Patatesli Börek,170.61,6,1023.66,2024-05-04
Hasan,Aydın,Çavdar Ekmeği,268.83,5,1344.15,2024-04-14
Hüseyin,Özkan,Kıymalı Börek,124.82,1,124.82,2024-06-18
Fatma,Özkan,Peynirli Börek,269.05,8,2152.4,2024-09-11
Selin,Polat,Çikolatalı Pasta,128.27,10,1282.7,2024-06-30
Mehmet,Taş,Kuru Pasta,435.83,7,3050.81,2024-08-08
Rabia,Şahin,Tam Buğday Ekmeği,234.86,1,234.86,2024-02-29
Hasan,Kara,Çavdar Ekmeği,86.49,5,432.45,2024-04-15
Aslı,Özkan,Şöbiyet,487.58,6,2925.48,2024-06-05
Emine,Yıldız,Şöbiyet,378.25,10,3782.5,2024-02-21
Hatice,Kılıç,Kazandibi,390.53,4,1562.12,2024-09-04
Mehmet,Taş,Kazandibi,101.03,9,909.27,2024-08-08
Elif,Yavuz,Kadayıf,232.08,6,1392.48,2024-05-01
Fatma,Aksoy,Su Böreği,452.48,10,4524.8,2024-01-20
Kemal,Erdoğan,Sarma,133.01,4,532.04,2024-06-10
Aslı,Yıldız,Tam Buğday Ekmeği,395.08,5,1975.4,2024-09-18
Elif,Aydın,Çikolatalı Pasta,431.53,3,1294.59,2024-04-06
Hasan,Aksoy,Köy Ekmeği,60.64,1,60.64,2024-06-12
Cem,Demir,Poğaça,418.35,10,4183.5,2024-05-21
Ahmet,Güneş,Peynirli Börek,253.82,3,761.46,2024-05-01
Ayşe,Koç,Çikolatalı Pasta,137.39,4,549.56,2024-08-12
Hüseyin,Erdoğan,Simit,439.76,9,3957.84,2024-03-16
Aslı,Tekin,Simit,439.61,1,439.61,2024-02-16
Hüseyin,Güneş,Şöbiyet,402.05,8,3216.4,2024-08-24
Onur,Çelik,Sütlaç,265.07,10,2650.7,2024-08-02
Elif,Arslan,Meyveli Pasta,47.85,8,382.8,2024-05-03
Kemal,Güneş,Su Böreği,47.74,7,334.18,2024-07-18
Onur,Yıldız,Çavdar Ekmeği,379.26,5,1896.3,2024-08-03
Hasan,Yıldız,Tam Buğday Ekmeği,253.55,5,1267.75,2024-06-04
Hasan,Tekin,Sütlaç,239.14,6,1434.84,2024-08-28
Yusuf,Doğan,Kıymalı Börek,239.39,6,1436.34,2024-05-21
Zeynep,Aydın,Peynirli Börek,380.66,4,1522.64,2024-04-05
Zeynep,Koç,Kazandibi,337.09,3,1011.27,2024-04-27
Ahmet,Arslan,Simit,157.91,7,1105.37,2024-03-03
Hüseyin,Şahin,Şöbiyet,184.91,1,184.91,2024-06-23
Hatice,Yılmaz,Şöbiyet,114.33,5,571.65,2024-07-13
Hasan,Öztürk,Tam Buğday Ekmeği,80.39,5,401.95,2024-03-11
Ali,Yıldız,Sütlaç,21.7,4,86.8,2024-09-17
Emine,Tekin,Revani,307.26,1,307.26,2024-04-11
Murat,Aksoy,Tam Buğday Ekmeği,71.42,10,714.2,2024-09-30
Ali,Taş,Kadayıf,250.84,2,501.68,2024-09-02
Mehmet,Aksoy,Pastane Kurabiyesi,332.85,3,998.55,2024-01-03
Hasan,Aksoy,Çikolatalı Kurabiye,473.1,7,3311.7,2024-01-09
Onur,Erdoğan,Karamelli Pasta,18.4,10,184.0,2024-07-19
Hasan,Demir,Sarma,91.43,3,274.29,2024-03-01
Kemal,Polat,Şöbiyet,314.51,3,943.53,2024-09-06
Yusuf,Taş,Baklava,393.5,3,1180.5,2024-01-19
Ayşe,Yavuz,Tereyağlı Kurabiye,44.4,8,355.2,2024-08-21
Selin,Öztürk,Ispanaklı Börek,116.5,5,582.5,2024-09-17
Hüseyin,Özkan,Çavdar Ekmeği,54.78,7,383.46,2024-08-13
Elif,Aksoy,Sarma,134.87,4,539.48,2024-09-12
Ayşe,Kara,Ispanaklı Börek,487.73,8,3901.84,2024-01-21
Ali,Demir,Kadayıf,134.63,4,538.52,2024-05-25
Cem,Demir,Şöbiyet,90.83,2,181.66,2024-07-03
Emine,Yıldız,Baklava,141.88,5,709.4,2024-07-25
Zeynep,Şahin,Açma,478.56,5,2392.8,2024-04-20
Zeynep,Yılmaz,Revani,307.02,1,307.02,2024-08-04
Kemal,Demir,Sarma,68.1,10,681.0,2024-05-10
Hüseyin,Öztürk,Kazandibi,252.82,10,2528.2,2024-03-18
Yusuf,Arslan,Şöbiyet,338.68,8,2709.44,2024-06-21
Ali,Yıldız,Pastane Kurabiyesi,473.18,2,946.36,2024-04-04
Ahmet,Demir,Şöbiyet,266.25,2,532.5,2024-07-04
Selin,Öztürk,Çavdar Ekmeği,167.69,7,1173.83,2024-09-12
Kemal,Aksoy,Sütlaç,491.71,3,1475.13,2024-06-03
Hüseyin,Taş,Tereyağlı Kurabiye,57.08,7,399.56,2024-02-17
Rabia,Yavuz,Pastane Kurabiyesi,199.94,10,1999.4,2024-01-14
Ayşe,Arslan,Tam Buğday Ekmeği,190.43,3,571.29,2024-08-09
Hüseyin,Aydın,Su Böreği,410.38,3,1231.14,2024-06-24
Cem,Özkan,Sütlaç,251.1,1,251.1,2024-09-01
Rabia,Aksoy,Çikolatalı Pasta,162.32,3,486.96,2024-07-01
Serkan,Öztürk,Sarma,178.08,5,890.4,2024-06-06
Yusuf,Aksoy,Tereyağlı Kurabiye,162.08,5,810.4,2024-06-29
Hatice,Özkan,Açma,371.15,2,742.3,2024-07-18
Zeynep,Erdoğan,Karamelli Pasta,333.31,7,2333.17,2024-09-08
Hüseyin,Çelik,Peynirli Börek,127.48,2,254.96,2024-07-11
Hasan,Şahin,Kadayıf,77.95,8,623.6,2024-02-15
Hüseyin,Şahin,Peynirli Börek,286.42,2,572.84,2024-01-23
Serkan,Tekin,Çikolatalı Kurabiye,138.3,10,1383.0,2024-09-01
Cem,Demir,Kazandibi,333.08,5,1665.4,2024-06-01
Ayşe,Erdoğan,Açma,140.58,4,562.32,2024-05-21
Zeynep,Taş,Sütlaç,245.16,7,1716.12,2024-03-03
Ayşe,Yıldız,Baklava,463.52,1,463.52,2024-07-29
Yusuf,Erdoğan,Poğaça,169.2,6,1015.2,2024-05-25
Zeynep,Aydın,Çikolatalı Kurabiye,329.03,10,3290.3,2024-05-08
Fatma,Taş,Tereyağlı Kurabiye,98.26,8,786.08,2024-01-14
Ayşe,Taş,Pastane Kurabiyesi,315.53,4,1262.12,2024-07-04
Cem,Yavuz,Sütlaç,96.6,10,966.0,2024-04-27
Aslı,Özkan,Revani,243.02,7,1701.14,2024-05-02
Selin,Özkan,Baklava,469.19,4,1876.76,2024-02-17
Kemal,Çelik,Kazandibi,126.51,1,126.51,2024-09-12
Kemal,Kara,Su Böreği,398.26,10,3982.6,2024-03-18
Yusuf,Çelik,Peynirli Börek,470.96,9,4238.64,2024-07-13
Onur,Güneş,Simit,60.13,8,481.04,2024-09-17
Rabia,Koç,Çavdar Ekmeği,341.18,10,3411.8,2024-08-23
Hüseyin,Kara,Tam Buğday Ekmeği,36.82,3,110.46,2024-04-01
Elif,Kara,Simit,84.88,1,84.88,2024-04-19
Aslı,Tekin,Kazandibi,50.95,3,152.85,2024-04-10
Hatice,Öztürk,Meyveli Pasta,480.39,9,4323.51,2024-09-17
Onur,Özkan,Tam Buğday Ekmeği,340.85,8,2726.8,2024-05-30
Ayşe,Doğan,Poğaça,31.19,1,31.19,2024-03-29
Murat,Şahin,Peynirli Börek,268.5,6,1611.0,2024-01-06
Ayşe,Koç,Sütlaç,433.14,1,433.14,2024-01-31
Emine,Koç,Baklava,469.56,3,1408.68,2024-02-09
Serkan,Yıldız,Su Böreği,68.3,8,546.4,2024-06-14
Hatice,Özkan,Şöbiyet,374.25,6,2245.5,2024-05-03
Selin,Koç,Poğaça,129.53,1,129.53,2024-03-15
Elif,Öztürk,Köy Ekmeği,273.52,10,2735.2,2024-03-31
Hasan,Özkan,Sütlaç,148.81,4,595.24,2024-03-22
Hüseyin,Doğan,Su Böreği,31.54,4,126.16,2024-03-20
Cem,Taş,Köy Ekmeği,32.06,4,128.24,2024-07-08
Elif,Güneş,Çavdar Ekmeği,288.01,8,2304.08,2024-06-02
Selin,Koç,Tam Buğday Ekmeği,324.36,6,1946.16,2024-01-24
Ali,Çelik,Baklava,452.92,7,3170.44,2024-02-19
Murat,Özkan,Sütlaç,158.3,4,633.2,2024-07-22
Selin,Yıldız,Revani,329.68,7,2307.76,2024-07-22
Mehmet,Demir,Tereyağlı Kurabiye,277.2,1,277.2,2024-05-28
Hasan,Aydın,Peynirli Börek,375.07,3,1125.21,2024-07-22
Kemal,Çelik,Patatesli Börek,39.39,5,196.95,2024-05-08
Emine,Taş,Çikolatalı Pasta,113.36,1,113.36,2024-01-12
Rabia,Öztürk,Kıymalı Börek,59.59,2,119.18,2024-01-05
Hüseyin,Yavuz,Köy Ekmeği,231.12,2,462.24,2024-04-30
Elif,Kılıç,Revani,177.94,5,889.7,2024-04-23
Murat,Aydın,Yaş Pasta,230.46,3,691.38,2024-08-16
Hüseyin,Kılıç,Kıymalı Börek,45.33,2,90.66,2024-03-29
Murat,Yavuz,Çikolatalı Kurabiye,177.11,9,1593.99,2024-08-29
Onur,Demir,Karamelli Pasta,369.89,7,2589.23,2024-08-10
Hatice,Doğan,Kıymalı Börek,292.05,5,1460.25,2024-07-20
Zeynep,Kılıç,Tam Buğday Ekmeği,430.69,2,861.38,2024-02-22
Zeynep,Yılmaz,Tereyağlı Kurabiye,190.75,2,381.5,2024-05-25
Elif,Çelik,Sütlaç,95.89,8,767.12,2024-01-24
Hatice,Yılmaz,Simit,166.03,7,1162.21,2024-05-04
Rabia,Şahin,Ispanaklı Börek,305.6,8,2444.8,2024-08-14
Onur,Taş,Ispanaklı Börek,299.67,5,1498.35,2024-08-01
Murat,Yıldız,Su Böreği,264.45,4,1057.8,2024-04-13
Selin,Yıldız,Yaş Pasta,241.24,1,241.24,2024-07-08
Kemal,Özkan,Peynirli Börek,493.24,3,1479.72,2024-01-10
Onur,Aksoy,Kadayıf,20.16,5,100.8,2024-09-03
Aslı,Öztürk,Yaş Pasta,161.47,1,161.47,2024-09-29
Yusuf,Özkan,Sarma,101.49,3,304.47,2024-06-12
Selin,Yılmaz,Köy Ekmeği,417.45,7,2922.15,2024-05-06
Cem,Kılıç,Kıymalı Börek,364.06,6,2184.36,2024-08-18
Murat,Kılıç,Kuru Pasta,251.71,3,755.13,2024-04-05
Ahmet,Öztürk,Su Böreği,154.01,10,1540.1,2024-05-14
Ahmet,Aydın,Kazandibi,327.14,5,1635.7,2024-08-02
Hüseyin,Aydın,Su Böreği,249.59,10,2495.9,2024-05-18
Ayşe,Kılıç,Baklava,400.66,2,801.32,2024-07-24
Ayşe,Tekin,Tam Buğday Ekmeği,296.51,6,1779.06,2024-07-11
Yusuf,Aksoy,Kuru Pasta,112.62,3,337.86,2024-06-13
Rabia,Doğan,Sarma,157.32,1,157.32,2024-05-12
Rabia,Tekin,Şöbiyet,70.02,6,420.12,2024-05-03
Emine,Güneş,Baklava,279.97,5,1399.85,2024-07-29
Hüseyin,Aydın,Sütlaç,110.9,9,998.1,2024-09-20
Rabia,Özkan,Poğaça,106.46,6,638.76,2024-01-25
Hasan,Arslan,Sarma,118.17,2,236.34,2024-01-31
Serkan,Şahin,Tam Buğday Ekmeği,64.97,10,649.7,2024-01-25
Mehmet,Polat,Köy Ekmeği,293.11,1,293.11,2024-06-09
Murat,Yavuz,Su Böreği,320.93,3,962.79,2024-08-30
Murat,Yılmaz,Sarma,61.56,9,554.04,2024-07-26
Serkan,Arslan,Yaş Pasta,68.23,4,272.92,2024-09-19
Onur,Güneş,Sütlaç,59.28,1,59.28,2024-04-29
Hüseyin,Kılıç,Açma,98.85,2,197.7,2024-08-09
Emine,Kılıç,Revani,389.41,7,2725.87,2024-08-23
Serkan,Polat,Açma,311.7,5,1558.5,2024-02-14
Onur,Polat,Açma,268.16,4,1072.64,2024-03-05
